subject,negLL,epsilon_pred,BIC,group
4151,2768.68739760332,0.6688073394495413,5545.755251874482,Easy
4152,2285.36499793293,0.6404687053443842,4578.890514113337,Easy
4154,1018.8066822214956,0.7127722189523249,2045.0517479730356,Easy
5091,3124.557522354825,0.7112906328140027,6257.671458614219,Easy
5354,2123.369330370626,0.6828478964401294,4254.870191451856,Easy
6832,3155.544561503127,0.7045585689555683,6319.6455369108235,Easy
6833,1041.172745740083,0.625158831003812,2089.7075020314255,Easy
6951,1730.7043922481032,0.690961057520543,3469.3461591923697,Easy
8012,1558.689231311112,0.7549124687388353,3125.3158373183874,Easy
8332,4608.662282979112,0.7502134406634956,9226.336455391476,Easy
8451,1716.783262446516,0.6970346552340122,3441.503899589195,Easy
849,2594.2698032430917,0.6479119779944986,5196.833656126286,Easy
422,1951.2221998072384,0.7390408943807002,3910.575930325081,Easy
441,1294.6172739852047,0.7244201909959073,2596.930760609756,Easy
532,2844.2845915054977,0.6908023483365949,5697.002994593473,Easy
4151,3441.4353973710117,0.6467257973202492,6891.446256841564,Hard
4152,2179.8836951916314,0.6850528722492141,4367.927908630741,Hard
4154,1413.8196627500545,0.6950848194867334,2835.3799899020264,Hard
5091,549.1729791674497,0.7245444801714899,1105.1854347731282,Hard
5354,2162.122715055187,0.6672550750220653,4332.376960820979,Hard
6832,1825.647790395534,0.6420150053590568,3659.2329554872313,Hard
6833,3377.6036558364654,0.7308156578720469,6763.872924869465,Hard
6951,3881.6862362557304,0.704953899046726,7772.136525780808,Hard
8012,1413.1501463653651,0.6575716234652115,2833.9965053700766,Hard
8332,4341.299310169262,0.6885269324189169,8691.452285766562,Hard
8451,2874.1003241236367,0.6825396825396826,5756.634459829751,Hard
849,2511.5918679649535,0.6784196049012253,5031.4777855700095,Hard
422,3206.8534136166018,0.6928255433737257,6422.263241137773,Hard
441,3405.0985604784337,0.7031612787997856,6818.82764283359,Hard
532,990.1898589293229,0.6898061288305191,1987.7574767668737,Hard
