subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted βʳʷ,Fitted βᶜᵏ,BIC,optimal_init_params,group
4151,2057.483106869103,0.3890701636594669,0.1008656527484925,0.0865816340737913,2.503629922399442,4148.488040409577,"(0.6666666666666666, 0.6666666666666666, 0.1, 1.7333333333333336)",Easy
4152,1710.6113236880392,1.0,0.0483156746519864,0.0845667366821438,2.5566776444550023,3453.8647203659884,"(1.0, 0.3333333333333333, 0.1, 3.366666666666667)",Easy
4154,666.668368995357,0.0139140386055348,0.0324485196678608,0.1643291819655653,2.98941890291593,1363.0902721108912,"(0.0, 0.0, 1.7333333333333336, 0.1)",Easy
5091,2456.929774714044,0.01,0.0798907736722409,0.01,2.5262833603402592,4948.085205046366,"(0.0, 1.0, 1.7333333333333336, 1.7333333333333336)",Easy
5354,1127.3954351875454,0.0121890075036794,0.0775292978337826,0.01,3.0699550796992847,2287.316993217508,"(0.0, 1.0, 0.1, 1.7333333333333336)",Easy
6832,2381.986250398259,0.0108877697501493,0.01,0.0620512353446827,3.016343552047658,4798.198156414796,"(0.0, 0.0, 3.366666666666667, 5.0)",Easy
6833,565.86630297968,0.01,0.1078935039820668,0.1397002138792567,2.828494076680821,1161.180648164399,"(0.0, 0.0, 0.1, 1.7333333333333336)",Easy
6951,1155.1553804926998,0.01,0.0175754667279336,0.5860013317349365,3.2066232066679765,2342.0602597700527,"(0.0, 0.0, 1.7333333333333336, 3.366666666666667)",Easy
8012,1229.5172471161404,0.01,0.0248118003820137,0.01,2.79491203193978,2490.783993016934,"(0.6666666666666666, 0.3333333333333333, 5.0, 1.7333333333333336)",Easy
8332,3568.712104169625,0.01,0.01,0.01,3.01671746734684,7173.471766072259,"(1.0, 0.0, 3.366666666666667, 5.0)",Easy
8451,1155.96504626934,0.0515036603851383,0.0124778034955248,0.3403774864860548,3.3744581131502382,2343.679591323333,"(0.0, 0.6666666666666666, 1.7333333333333336, 0.1)",Easy
849,1419.9037049905182,0.0187045413694448,0.0422823504421026,0.0100018580216499,3.113928655894021,2872.9836085414445,"(0.0, 1.0, 3.366666666666667, 1.7333333333333336)",Easy
422,1242.6823964283767,0.010002482995603,0.0228607330779728,0.01,3.2034820402929927,2517.8909156991704,"(0.0, 0.3333333333333333, 0.1, 5.0)",Easy
441,841.070601796135,0.01,0.0330345887655525,0.01,3.1826724679942977,1712.9260541496556,"(0.6666666666666666, 0.0, 0.1, 3.366666666666667)",Easy
532,2475.562373126565,0.01,0.0547488218279044,0.01,2.3654542646120738,4984.859992583039,"(0.0, 1.0, 1.7333333333333336, 0.1)",Easy
4151,2461.509797738098,0.0216894801568923,0.1420014005374414,1.1749709481187691,2.4571321995316966,4957.321443874356,"(1.0, 1.0, 0.1, 5.0)",Hard
4152,1700.1183593002136,0.01,0.0681737203402835,0.01,2.5630214406642886,3432.878791590337,"(1.0, 0.3333333333333333, 3.366666666666667, 0.1)",Hard
4154,839.7986197996701,0.01,0.0178037732696679,1.5859083302434194,3.486810506700782,1710.559897207009,"(0.0, 0.0, 0.1, 5.0)",Hard
5091,428.304992009508,0.0114108490292087,0.0900591689084432,0.2055990013472702,2.559669148150886,883.9678897719314,"(0.0, 0.0, 3.366666666666667, 0.1)",Hard
5354,1228.440027441692,0.0111395572217277,0.0450938768033512,0.0101904643068344,3.2259642079991764,2489.406177725801,"(0.0, 0.6666666666666666, 0.1, 5.0)",Hard
6832,1115.0778466339657,0.01,0.0290757751101621,0.01,2.9504086236677365,2261.9051920525844,"(0.0, 0.0, 1.7333333333333336, 3.366666666666667)",Hard
6833,2658.5100354285605,0.01,0.0290978882773604,0.01,2.8929229506333205,5351.682523643259,"(0.0, 0.3333333333333333, 5.0, 3.366666666666667)",Hard
6951,2576.3833077552545,0.010069600882457,0.0164351366824699,0.01,3.047388190161259,5187.8228285879,"(0.3333333333333333, 0.6666666666666666, 0.1, 3.366666666666667)",Hard
8012,659.942526095,0.0100342748699054,0.0444326435235506,0.0146135829248956,3.220055529479787,1350.6699027473855,"(0.0, 0.6666666666666666, 3.366666666666667, 5.0)",Hard
8332,2840.053939082263,0.0283416568755641,0.0391544719930351,0.01,2.8939902725699915,5715.522539876675,"(0.0, 1.0, 0.1, 1.7333333333333336)",Hard
8451,1725.155404388237,0.010227468724012,0.03883097666494,0.01,3.047987918762093,3484.046055106383,"(0.0, 0.6666666666666666, 1.7333333333333336, 3.366666666666667)",Hard
849,1908.3475355600792,0.01,0.060913482997013,0.6636500618868488,2.594934054958568,3849.871269680568,"(0.0, 0.3333333333333333, 3.366666666666667, 1.7333333333333336)",Hard
422,2401.4752663483187,0.01001111482586,0.0623162912613721,0.01,2.7292398544738634,4837.176188314916,"(0.0, 0.3333333333333333, 0.1, 0.1)",Hard
441,2641.710004820607,0.0118307319415075,0.0175271708997718,0.3137987421225506,2.9153949121602247,5317.942097148107,"(0.0, 0.0, 3.366666666666667, 3.366666666666667)",Hard
532,694.24746462191,0.0119497452885753,0.0585774489602404,0.5906199904041484,2.8178933301866063,1418.0059648767317,"(0.0, 0.0, 1.7333333333333336, 5.0)",Hard
