subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,BIC,optimal_init_params,group
4151.0,2356.8559742169846,0.25,0.25,4730.472861769655,"(0.25, 0.25)",Easy
4152.0,1953.349510403081,0.01,0.1968803360224758,3923.020057301117,"(1.0, 1.0)",Easy
4154.0,863.9076913792223,0.0278911052638644,0.2395717011365721,1742.6921498185334,"(0.0, 0.25)",Easy
5091.0,2859.9533909983847,0.01,0.1229674561821208,5737.019609805909,"(0.0, 0.5)",Easy
5354.0,1661.22828219216,0.0651881261179878,0.2376510200601363,3338.7196258055283,"(0.25, 1.0)",Easy
6832.0,2916.349429398867,0.01,0.0500533254123785,5849.811686606873,"(0.0, 1.0)",Easy
6833.0,782.9559289608828,0.0361437423541482,0.5132226692541327,1580.635879024285,"(0.0, 0.5)",Easy
6951.0,1504.086904068903,0.1164268386899082,0.1234600900593955,3024.0485575301327,"(1.0, 0.75)",Easy
8012.0,1503.8629693597968,0.0100000000000001,0.0883241933099661,3023.60068811192,"(1.0, 0.5)",Easy
8332.0,4453.5492605337695,0.01,0.0512290927090581,8925.122299934044,"(0.0, 0.5)",Easy
8451.0,1536.806149125509,0.0100000000005448,0.2499999999998679,3089.4870476433443,"(0.0, 0.25)",Easy
849.0,1965.307543589848,0.01,0.1619520199734202,3947.2031864598994,"(0.0, 0.25)",Easy
422.0,1723.6771664533812,0.010001561535046,0.1284787934080448,3463.617394327971,"(0.25, 0.25)",Easy
441.0,1169.0248319406674,0.01,0.1297480443866868,2353.4420891600275,"(0.0, 0.25)",Easy
532.0,2731.041943262804,0.01,0.1017005522560384,5478.9515096905625,"(0.0, 0.75)",Easy
4151.0,2808.1308390901368,0.01,0.270970606225888,5633.412602379354,"(0.0, 1.0)",Hard
4152.0,1976.5828373032505,0.01,0.1495292289450456,3969.486711101456,"(0.0, 0.75)",Hard
4154.0,1152.072149897047,0.0173275016472716,0.2406332363602539,2319.6256285979284,"(0.0, 0.25)",Hard
5091.0,497.139154354821,0.01,0.1806122264046374,1007.9572615860998,"(0.0, 0.75)",Hard
5354.0,1761.5558528461363,0.0135010130334162,0.2526465416668714,3539.374767113481,"(0.0, 0.25)",Hard
6832.0,1501.265424441296,0.01,0.0936137864658864,3018.4055982749182,"(1.0, 0.5)",Hard
6833.0,3255.672361857748,0.01,0.0918104759177608,6528.675950108565,"(0.0, 0.5)",Hard
6951.0,3370.2162584641887,0.01,0.0961627804026227,6757.960623467073,"(0.0, 0.5)",Hard
8012.0,1110.8594397600689,0.0730905421137835,0.1605382458664724,2237.11130479883,"(0.75, 0.25)",Hard
8332.0,3746.111200657321,0.01,0.1162723609991594,7509.929732170717,"(0.0, 0.25)",Hard
8451.0,2283.0590149435243,0.01,0.1670311158075431,4582.985653052003,"(0.0, 1.0)",Hard
849.0,2206.008457247731,0.01,0.0981670256826403,4428.605013775666,"(0.0, 0.25)",Hard
422.0,2920.1070836002827,0.01,0.1298302161687575,5857.326995009705,"(0.0, 0.5)",Hard
441.0,3225.144528078383,0.01,0.0737987318241722,6467.550099910212,"(0.0, 1.0)",Hard
532.0,835.0287191102707,0.01,0.1757642123553262,1684.812956036997,"(0.0, 0.75)",Hard
