subject,negLL,Fitted b₀,Fitted b₁,BIC,group
4151,2597.4206091393576,0.7922018348623853,0.4195323246217332,5211.602131614401,Easy
4152,1953.5367765747867,0.5688965122927387,0.1559109080525414,3923.394589644528,Easy
4154,762.7342326010687,0.657243816254417,0.0705052878965922,1540.345232262226,Easy
5091,3059.60670018577,0.7676923076923077,0.3307692307692307,6136.326228180679,Easy
5354,1286.4542909334664,0.6005882352941176,0.0164705882352941,2589.171643288141,Easy
6832,2597.131553647325,0.5438461538461539,0.093076923076923,5211.375935103789,Easy
6833,750.1893680426996,0.420584498094028,0.0774111675126903,1515.1027571879183,Easy
6951,1315.3626623381117,0.5582558970693352,0.0699500356887937,2646.60007406855,Easy
8012,1289.509444718179,0.6707142857142857,0.0835714285714285,2594.8936388286847,Easy
8332,3909.466548511231,0.6278048780487805,0.0860975609756097,7836.956875888966,Easy
8451,1282.108680145298,0.5342857142857143,0.0592857142857142,2580.0921096829225,Easy
849,1863.866172308643,0.6163081540770385,0.0749625187406296,3744.32044389749,Easy
422,1374.0577104986817,0.658235294117647,0.0394117647058823,2764.378482418572,Easy
441,914.842198020888,0.5527272727272727,0.0327272727272727,1845.0768213204688,Easy
532,2845.691849124048,0.6424532405393649,0.2720556279878314,5708.2513214130495,Easy
4151,3099.6797868352987,0.7221593053982635,0.2655601659751037,6216.510497869678,Hard
4152,2116.654017218608,0.7615780445969125,0.3723586521987436,4249.62907093217,Hard
4154,1049.955988607534,0.6013925152306353,0.0651607298001737,2115.3933060189024,Hard
5091,484.329826818988,0.8025751072961373,0.2307692307692307,982.3386065144336,Hard
5354,1334.9191985945035,0.5709240729841083,0.0211640211640211,2686.101458610216,Hard
6832,1232.7068052501054,0.4953538241601143,0.046395431834404,2481.2883598925373,Hard
6833,2842.2309238041544,0.5613793103448276,0.086551724137931,5701.793074001378,Hard
6951,2924.505843040226,0.5903125,0.06375,5866.539792619147,Hard
8012,839.9923769508209,0.4212920837124659,0.0163487738419618,1695.377179180335,Hard
8332,3252.0015548274187,0.5078593883966848,0.0634104541559554,6521.710440510912,Hard
8451,2101.387985585757,0.6816006959547629,0.0838765754019991,4219.643594336469,Hard
849,2394.271302954615,0.687,0.2625,4805.130705189434,Hard
422,2920.2102190096543,0.5586764140053867,0.1584006151480199,5857.533265828448,Hard
441,2858.533386890966,0.4590925330475169,0.1028204212781149,5734.327817535379,Hard
532,837.8586015637595,0.70375,0.16,1690.4727209439748,Hard
