subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted β,BIC,optimal_init_params,group
4151,2082.0888701848407,0.1299980287256187,0.1299980284730066,2.504959013678961,4189.31911037321,"(0.25, 0.25, 5.0)",Easy
4152,1722.0977775550143,0.01,0.0401671984298903,2.72521535817755,3468.677109852461,"(0.0, 0.0, 5.0)",Easy
4154,689.5921294862284,0.0175965469435386,0.0427555478296904,2.73767557962159,1401.4994095625896,"(0.0, 0.25, 0.1)",Easy
5091,2499.459167776872,0.01,0.0734017312008383,2.634203771773121,5024.587577267451,"(0.0, 0.5, 0.1)",Easy
5354,1254.4623606441548,0.052037075262861,0.1232210397837638,2.9609279431676527,2533.3193134201224,"(0.5, 0.0, 5.0)",Easy
6832,2480.0306302863173,0.01,0.01,3.162424393757262,4985.730502286343,"(0.0, 0.0, 5.0)",Easy
6833,582.0109003005456,0.0540815067122664,0.0540743746939222,3.157487724392513,1186.1078322548703,"(0.75, 0.75, 5.0)",Easy
6951,1199.663923843582,0.01,0.0183586348813376,3.4540900414794904,2423.139971775653,"(1.0, 0.5, 3.7750000000000004)",Easy
8012,1276.5466176645432,0.0170164006546384,0.0368077134411407,2.670649409641768,2576.905359417576,"(0.0, 0.75, 0.1)",Easy
8332,3754.6360899817696,0.01,0.0146947086156336,2.882017648133224,7536.307848263296,"(0.0, 1.0, 0.1)",Easy
8451,1233.444163460552,0.0176105028799708,0.01,3.630102389854093,2490.700451009593,"(0.0, 0.0, 3.7750000000000004)",Easy
849,1478.9596408935577,0.01,0.044176863080342,3.0971318914144885,2982.8014307074213,"(0.0, 0.0, 5.0)",Easy
422,1346.527000961834,0.0150595771636344,0.03097216998271,3.002836250669385,2717.4485940554805,"(0.25, 0.75, 1.3250000000000002)",Easy
441,931.6326548551812,0.0141194966316201,0.0465256606476149,3.330276845871852,1886.3539476284016,"(0.0, 0.0, 5.0)",Easy
532,2514.584868614551,0.01,0.0442258651039,2.586550231152888,5054.471171976534,"(0.0, 0.75, 1.3250000000000002)",Easy
4151,2462.8211209417022,0.01,0.1431637025986622,2.459778630644552,4951.3686281820255,"(0.0, 0.25, 1.3250000000000002)",Hard
4152,1745.3598696106897,0.01,0.0519660248829423,2.7981773918458264,3515.201293963812,"(0.0, 1.0, 3.7750000000000004)",Hard
4154,853.5419804528836,0.0129338390438017,0.0129338390438017,3.778630255382482,1730.305954111519,"(0.0, 0.0, 3.7750000000000004)",Hard
5091,430.65177692526623,0.01,0.0735329421598034,2.5305020819519783,881.821983165219,"(0.0, 1.0, 2.5500000000000003)",Hard
5354,1395.7853416287753,0.032145053438095,0.0706439764662311,2.901389466867533,2815.965275389364,"(0.75, 0.0, 2.5500000000000003)",Hard
6832,1245.4788676421117,0.0100461049080726,0.0100461050718787,3.774824663275039,2514.769859372713,"(0.0, 0.0, 3.7750000000000004)",Hard
6833,2820.130992256441,0.01,0.0363833761896784,2.8763356252715533,5666.258824102487,"(0.0, 0.5, 2.5500000000000003)",Hard
6951,2717.423998291604,0.01,0.0242891353500353,3.106062485410461,5461.14015639125,"(0.0, 0.5, 0.1)",Hard
8012,744.9514190316032,0.0283929072145439,0.0320105548211578,4.131787743516294,1512.9914759812457,"(0.5, 0.0, 1.3250000000000002)",Hard
8332,3046.3949238171085,0.01,0.0292399437443847,3.1109964726348984,6119.35084391833,"(0.0, 0.75, 5.0)",Hard
8451,1787.0490310037817,0.01,0.0503804982949558,2.9750721823128408,3599.3994967549947,"(0.0, 0.25, 2.5500000000000003)",Hard
849,1917.5629994364424,0.01,0.0556097276783707,2.7068775083479246,3860.0081477931903,"(0.0, 0.75, 2.5500000000000003)",Hard
422,2514.23706208336,0.01,0.0486744744362325,3.003961050401932,5054.143365880428,"(1.0, 0.0, 0.1)",Hard
441,2748.252085511781,0.01,0.01,3.487797874453139,5522.395736653732,"(0.0, 0.0, 3.7750000000000004)",Hard
532,697.2305464082604,0.01,0.0527317033620279,2.8544260087907527,1416.5943695412043,"(1.0, 0.0, 3.7750000000000004)",Hard
